division,date,home_team,away_team,ft_home_goals,ft_away_goals,ft_result,ht_home_goals,ht_away_goals,ht_result,odds_home,odds_draw,odds_away
1,2018-02-18,Bologna,Sassuolo,2,1,1,1,1,2,2.68,3.2,2.94
1,2018-02-18,Milan,Sampdoria,1,0,1,1,0,1,1.72,04.01,5.16
1,2018-02-18,Napoli,Spal,1,0,1,1,0,1,1.15,8.8,22.75
1,2018-02-18,Torino,Juventus,0,1,3,0,1,3,4.99,3.7,1.81
1,2018-02-19,Lazio,Verona,2,0,1,0,0,2,1.22,7.6,14.2
1,2018-02-24,Bologna,Genoa,2,0,1,0,0,2,2.94,03.09,2.77
1,2018-02-24,Inter,Benevento,2,0,1,0,0,2,1.24,6.93,13.92
1,2018-02-25,Crotone,Spal,2,3,3,0,1,3,2.34,3.24,3.46
1,2018-02-25,Fiorentina,Chievo,1,0,1,1,0,1,1.47,4.32,8.97
1,2018-02-25,Roma,Milan,0,2,3,0,0,2,1.9,3.63,4.48
1,2018-02-25,Sampdoria,Udinese,2,1,1,1,0,1,1.99,3.57,4.12
1,2018-02-25,Sassuolo,Lazio,0,3,3,0,2,3,4.4,3.77,1.88
1,2018-02-25,Verona,Torino,2,1,1,1,0,1,5.44,3.93,1.7
1,2018-02-26,Cagliari,Napoli,0,5,3,0,2,3,10.52,5.14,1.36
1,2018-03-03,Lazio,Juventus,0,1,3,0,0,2,3.5,3.3,2.29
1,2018-03-03,Napoli,Roma,2,4,3,1,2,3,1.6,4.25,06.02
1,2018-03-03,Spal,Bologna,1,0,1,0,0,2,2.42,3.22,3.32
1,2018-03-09,Roma,Torino,3,0,1,0,0,2,1.67,4.24,5.24
1,2018-03-10,Verona,Chievo,1,0,1,0,0,2,3.51,3.4,2.24
1,2018-03-11,Bologna,Atalanta,0,1,3,0,0,2,4.41,3.52,1.94
1,2018-03-11,Cagliari,Lazio,2,2,2,1,1,2,5.2,3.98,1.72
1,2018-03-11,Crotone,Sampdoria,4,1,1,3,0,1,3.26,3.3,2.41
1,2018-03-11,Fiorentina,Benevento,1,0,1,1,0,1,1.36,5.34,9.83
1,2018-03-11,Genoa,Milan,0,1,3,0,0,2,3.49,03.07,2.42
